SCAN Output\bearings.mds                                                                                 
file_id:  15May 5 8L5 LWPM 2.1 c:\lwpcv21\output\bearings.mds
          ***
          ***
prgm_id:  LWPM 2.1
case_id:  OMEGA coverage of the Mediterranean
prfl_id:  LWPM Date: 04/15/84:2200                
xmtr_id                tlat    tlon   freq
omega-d                46.4    98.3   10.2
path_id                lat1    lon1   lat2    lon2
Bearings                0.0     0.0    0.0     0.0
bearng   rlat    rlon    rrho
  24.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   65.6    23.9   4740.  125.5   76.8  0.506  1.E-03  15.  0.30  74.0    7.
  4   65.5    22.6   4800.  125.8   76.7  0.505  4.E+00  81.  0.30  74.0    7.
  4   65.4    21.7   4840.  126.0   76.6  0.504  1.E-03  15.  0.30  74.0    7.
  4   64.9    17.2   5060.  126.8   76.0  0.500  3.E-02  15.  0.30  74.0    7.
  4   64.8    16.8   5080.  126.9   76.0  0.500  1.E-02  15.  0.30  74.0    7.
  4   64.5    14.4   5200.  127.4   75.6  0.498  4.E+00  81.  0.30  74.0    7.
  4   59.1    -6.0   6420.  131.8   72.0  0.482  3.E-03  15.  0.30  74.0    7.
  4   58.9    -6.6   6460.  131.9   71.9  0.481  1.E-03  15.  0.30  74.0    7.
  4   58.0    -8.7   6620.  132.6   71.4  0.480  4.E+00  81.  0.30  74.0    7.
  4   57.4   -10.0   6720.  133.0   71.0  0.479  1.E-02  15.  0.30  74.0    7.
  4   57.2   -10.5   6760.  133.2   70.9  0.479  4.E+00  81.  0.30  74.0    7.
  4   56.1   -12.7   6940.  134.0   70.2  0.477  3.E-03  15.  0.30  74.0    7.
  4   55.9   -12.9   6960.  134.0   70.1  0.477  4.E+00  81.  0.30  74.0    7.
  4   55.8   -13.1   6980.  134.1   70.0  0.477  3.E-03  15.  0.30  74.0    7.
  4   55.4   -13.8   7040.  134.4   69.8  0.476  4.E+00  81.  0.30  74.0    7.
  4   54.2   -16.0   7240.  135.3   69.0  0.474  1.E-02  15.  0.30  74.0    7.
  4   44.5   -28.1   8620.  141.9   61.7  0.459  3.E-03  15.  0.30  74.0    7.
  4   44.1   -28.5   8680.  142.2   61.3  0.458  4.E+00  81.  0.30  74.0    7.
  4   40.9   -31.3   9100.  144.2   58.2  0.452  3.E-03  15.  0.30  74.0    7.
  4   36.7   -34.6   9640.  146.4   53.6  0.441  4.E+00  81.  0.30  74.0    7.
  4   34.7   -36.0   9900.  147.4   51.1  0.435  1.E-02  15.  0.30  74.0    7.
  4   27.4   -40.6  10820.  150.5   40.5  0.410  1.E-03  15.  0.30  74.0    7.
  4   26.0   -41.4  11000.  151.0   38.1  0.405  1.E-03  15.  0.30  74.0    7.
      99.0
bearng   rlat    rlon    rrho
  39.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   31.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   48.0    96.3    240.   34.3   75.4  0.571  1.E-03  15.  0.30  74.0    7.
  4   49.1    94.9    400.   36.9   76.3  0.575  1.E-02  15.  0.30  74.0    7.
  4   49.5    94.3    460.   38.0   76.7  0.576  1.E-03  15.  0.30  74.0    7.
  4   53.5    88.0   1080.   52.2   79.6  0.581  3.E-04  10.  0.30  74.0    7.
  4   54.1    86.9   1180.   55.1   80.0  0.581  3.E-03  15.  0.30  74.0    7.
  4   55.5    84.1   1420.   62.6   80.7  0.580  4.E+00  81.  0.30  74.0    7.
  4   58.4    77.2   1940.   80.8   81.4  0.574  1.E-04  10.  0.30  74.0    7.
  4   59.0    75.2   2080.   85.6   81.5  0.571  3.E-05   5.  0.30  74.0    7.
  4   60.1    71.9   2300.   92.8   81.3  0.566  1.E-04  10.  0.30  74.0    7.
  4   60.8    69.3   2460.   97.5   81.2  0.563  4.E+00  81.  0.30  74.0    7.
  4   63.7    51.4   3440.  116.8   79.2  0.536  1.E-04  10.  0.30  74.0    7.
  4   63.8    49.8   3520.  117.7   79.0  0.534  1.E-05   5.  0.30  74.0    7.
  4   64.3    40.4   3980.  122.0   77.8  0.522  4.E+00  81.  0.30  74.0    7.
  4   54.6    -8.6   6860.  133.6   69.1  0.472  1.E-02  15.  0.30  74.0    7.
  4   54.5    -8.8   6880.  133.7   69.0  0.472  4.E+00  81.  0.30  74.0    7.
  4   54.4    -9.1   6900.  133.8   68.9  0.472  1.E-02  15.  0.30  74.0    7.
  4   49.9   -16.3   7600.  136.6   65.8  0.464  1.E-03  15.  0.30  74.0    7.
  4   49.8   -16.5   7620.  136.7   65.7  0.464  1.E-02  15.  0.30  74.0    7.
  4   42.9   -24.6   8600.  141.0   59.9  0.451  3.E-03  15.  0.30  74.0    7.
  4   36.4   -30.5   9480.  144.6   52.9  0.435  4.E+00  81.  0.30  74.0    7.
  4   31.3   -34.2  10140.  146.9   46.1  0.420  1.E-02  15.  0.30  74.0    7.
  4   29.9   -35.2  10320.  147.5   44.1  0.415  1.E-03  15.  0.30  74.0    7.
  4   29.3   -35.6  10400.  147.8   43.1  0.413  1.E-02  15.  0.30  74.0    7.
  4   28.5   -36.1  10500.  148.1   41.9  0.410  1.E-02  15.  0.30  74.0    7.
      99.0
bearng   rlat    rlon    rrho
  42.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   34.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   48.1    96.0    260.   37.9   75.5  0.572  1.E-03  15.  0.30  74.0    7.
  4   49.1    94.5    420.   40.6   76.4  0.575  1.E-02  15.  0.30  74.0    7.
  4   49.5    93.9    480.   41.8   76.7  0.576  1.E-03  15.  0.30  74.0    7.
  4   53.6    86.6   1160.   58.4   79.6  0.580  3.E-04  10.  0.30  74.0    7.
  4   53.7    86.3   1180.   59.0   79.7  0.580  3.E-03  15.  0.30  74.0    7.
  4   55.0    83.4   1420.   66.6   80.3  0.579  4.E+00  81.  0.30  74.0    7.
  4   57.5    76.6   1920.   83.6   80.9  0.573  1.E-04  10.  0.30  74.0    7.
  4   58.0    74.9   2040.   87.5   80.9  0.571  3.E-05   5.  0.30  74.0    7.
  4   59.1    70.9   2300.   95.5   80.7  0.565  1.E-04  10.  0.30  74.0    7.
  4   59.5    69.3   2400.   98.3   80.6  0.563  4.E+00  81.  0.30  74.0    7.
  4   60.4    65.0   2660.  104.8   80.2  0.556  3.E-04  10.  0.30  74.0    7.
  4   60.5    64.3   2700.  105.7   80.1  0.555  4.E+00  81.  0.30  74.0    7.
  4   62.3    49.7   3500.  118.6   78.2  0.533  1.E-04  10.  0.30  74.0    7.
  4   62.3    48.9   3540.  119.0   78.1  0.532  1.E-05   5.  0.30  74.0    7.
  4   62.5    42.3   3880.  122.1   77.2  0.522  4.E+00  81.  0.30  74.0    7.
  4   57.4     5.8   5960.  130.8   71.0  0.479  1.E-03  15.  0.30  74.0    7.
  4   56.5     3.3   6140.  131.3   70.4  0.476  3.E-02  15.  0.30  74.0    7.
  4   56.4     3.0   6160.  131.4   70.3  0.476  4.E+00  81.  0.30  74.0    7.
  4   52.8    -5.2   6820.  133.5   67.7  0.467  1.E-02  15.  0.30  74.0    7.
  4   52.6    -5.7   6860.  133.6   67.6  0.466  4.E+00  81.  0.30  74.0    7.
  4   52.5    -5.9   6880.  133.7   67.5  0.466  1.E-02  15.  0.30  74.0    7.
  4   51.4    -7.9   7060.  134.3   66.7  0.464  3.E-03  15.  0.30  74.0    7.
  4   51.0    -8.5   7120.  134.6   66.4  0.463  1.E-02  15.  0.30  74.0    7.
  4   47.5   -14.0   7680.  136.6   63.6  0.456  3.E-03  15.  0.30  74.0    7.
  4   46.4   -15.4   7840.  137.3   62.8  0.454  1.E-02  15.  0.30  74.0    7.
  4   43.4   -19.1   8280.  139.0   60.1  0.448  3.E-03  15.  0.30  74.0    7.
  4   39.6   -23.1   8820.  141.1   56.2  0.439  4.E+00  81.  0.30  74.0    7.
  4   38.9   -23.8   8920.  141.5   55.4  0.438  3.E-03  15.  0.30  74.0    7.
  4   38.6   -24.0   8960.  141.7   55.1  0.437  4.E+00  81.  0.30  74.0    7.
  4   38.4   -24.2   8980.  141.7   54.9  0.436  3.E-03  15.  0.30  74.0    7.
  4   38.0   -24.6   9040.  142.0   54.4  0.435  4.E+00  81.  0.30  74.0    7.
  4   31.5   -30.0   9920.  145.1   45.9  0.416  1.E-02  15.  0.30  74.0    7.
  4   28.4   -32.2  10320.  146.3   41.2  0.406  1.E-03  15.  0.30  74.0    7.
  4   27.2   -33.1  10480.  146.7   39.2  0.401  1.E-02  15.  0.30  74.0    7.
  4   27.0   -33.2  10500.  146.8   38.9  0.401  1.E-02  15.  0.30  74.0    7.
      99.0
bearng   rlat    rlon    rrho
  45.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   37.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   48.0    95.9    260.   41.1   75.4  0.572  1.E-03  15.  0.30  74.0    7.
  4   49.1    94.1    440.   44.4   76.4  0.575  1.E-02  15.  0.30  74.0    7.
  4   49.2    93.9    460.   44.8   76.5  0.575  1.E-03  15.  0.30  74.0    7.
  4   52.9    86.5   1120.   61.1   79.2  0.580  1.E-02  15.  0.30  74.0    7.
  4   53.6    85.0   1240.   64.7   79.6  0.579  3.E-03  15.  0.30  74.0    7.
  4   54.8    81.9   1480.   72.4   80.1  0.578  4.E+00  81.  0.30  74.0    7.
  4   56.6    76.4   1880.   85.5   80.4  0.572  1.E-04  10.  0.30  74.0    7.
  4   57.5    72.8   2120.   93.0   80.3  0.568  3.E-05   5.  0.30  74.0    7.
  4   57.9    71.0   2240.   96.4   80.2  0.565  1.E-04  10.  0.30  74.0    7.
  4   58.0    70.7   2260.   97.0   80.1  0.565  3.E-05   5.  0.30  74.0    7.
  4   58.1    70.4   2280.   97.5   80.1  0.564  1.E-04  10.  0.30  74.0    7.
  4   58.6    68.1   2420.  101.2   79.9  0.561  4.E+00  81.  0.30  74.0    7.
  4   58.9    66.2   2540.  104.1   79.7  0.558  1.E-04  10.  0.30  74.0    7.
  4   59.0    65.9   2560.  104.6   79.7  0.557  3.E-04  10.  0.30  74.0    7.
  4   59.0    65.5   2580.  105.0   79.6  0.557  4.E+00  81.  0.30  74.0    7.
  4   59.1    65.2   2600.  105.5   79.6  0.556  3.E-04  10.  0.30  74.0    7.
  4   59.4    63.2   2720.  108.0   79.3  0.553  4.E+00  81.  0.30  74.0    7.
  4   60.7    47.8   3580.  120.4   77.1  0.529  1.E-04  10.  0.30  74.0    7.
  4   60.8    47.5   3600.  120.6   77.1  0.528  4.E+00  81.  0.30  74.0    7.
  4   60.8    46.4   3660.  121.2   76.9  0.526  1.E-05   5.  0.30  74.0    7.
  4   60.8    42.7   3860.  122.8   76.3  0.521  4.E+00  81.  0.30  74.0    7.
  4   55.1     7.5   6000.  131.3   69.5  0.473  3.E-02  15.  0.30  74.0    7.
  4   54.3     5.4   6160.  131.7   68.9  0.471  4.E+00  81.  0.30  74.0    7.
  4   53.4     3.1   6340.  132.2   68.2  0.468  3.E-02  15.  0.30  74.0    7.
  4   52.3     0.5   6560.  132.9   67.3  0.465  1.E-01  15.  0.30  74.0    7.
  4   51.5    -1.2   6700.  133.3   66.7  0.463  3.E-02  15.  0.30  74.0    7.
  4   51.3    -1.6   6740.  133.4   66.5  0.462  4.E+00  81.  0.30  74.0    7.
  4   50.9    -2.3   6800.  133.6   66.2  0.461  1.E-02  15.  0.30  74.0    7.
  4   49.6    -4.6   7020.  134.3   65.2  0.458  3.E-03  15.  0.30  74.0    7.
  4   49.4    -5.1   7060.  134.4   65.0  0.458  1.E-02  15.  0.30  74.0    7.
  4   47.0    -9.0   7460.  135.7   63.0  0.452  3.E-03  15.  0.30  74.0    7.
  4   45.9   -10.5   7620.  136.2   62.1  0.450  1.E-02  15.  0.30  74.0    7.
  4   44.4   -12.6   7860.  137.1   60.7  0.446  4.E+00  81.  0.30  74.0    7.
  4   43.4   -13.8   8000.  137.5   59.8  0.444  1.E-02  15.  0.30  74.0    7.
  4   43.2   -14.1   8040.  137.7   59.5  0.444  4.E+00  81.  0.30  74.0    7.
  4   42.0   -15.6   8220.  138.3   58.3  0.441  1.E-02  15.  0.30  74.0    7.
  4   41.6   -16.1   8280.  138.5   57.9  0.440  4.E+00  81.  0.30  74.0    7.
  4   41.4   -16.2   8300.  138.6   57.8  0.439  1.E-02  15.  0.30  74.0    7.
  4   41.2   -16.5   8340.  138.8   57.5  0.439  4.E+00  81.  0.30  74.0    7.
  4   40.9   -16.8   8380.  138.9   57.2  0.438  1.E-02  15.  0.30  74.0    7.
  4   40.5   -17.3   8440.  139.1   56.8  0.437  4.E+00  81.  0.30  74.0    7.
  4   31.4   -25.8   9700.  143.4   45.4  0.412  1.E-02  15.  0.30  74.0    7.
  4   25.4   -30.3  10500.  145.6   35.6  0.391  1.E-02  15.  0.30  74.0    7.
      99.0
bearng   rlat    rlon    rrho
  48.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   40.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   47.8    95.9    240.   43.9   75.3  0.571  1.E-03  15.  0.30  74.0    7.
  4   52.3    86.5   1080.   63.6   78.8  0.579  1.E-02  15.  0.30  74.0    7.
  4   53.1    84.5   1240.   68.4   79.2  0.578  3.E-03  15.  0.30  74.0    7.
  4   54.0    81.9   1440.   74.6   79.6  0.577  4.E+00  81.  0.30  74.0    7.
  4   54.8    79.4   1620.   80.4   79.8  0.575  1.E-04  10.  0.30  74.0    7.
  4   55.1    78.3   1700.   83.0   79.8  0.574  4.E+00  81.  0.30  74.0    7.
  4   55.2    77.7   1740.   84.2   79.9  0.573  1.E-04  10.  0.30  74.0    7.
  4   58.0    64.2   2620.  107.8   78.8  0.554  3.E-04  10.  0.30  74.0    7.
  4   58.3    62.2   2740.  110.2   78.6  0.551  4.E+00  81.  0.30  74.0    7.
  4   52.9     9.4   6020.  131.8   67.9  0.468  3.E-02  15.  0.30  74.0    7.
  4   52.0     6.9   6220.  132.3   67.1  0.465  4.E+00  81.  0.30  74.0    7.
  4   50.9     4.5   6420.  132.8   66.2  0.461  3.E-02  15.  0.30  74.0    7.
  4   50.4     3.4   6520.  133.0   65.8  0.460  4.E+00  81.  0.30  74.0    7.
  4   49.4     1.4   6700.  133.5   65.0  0.457  1.E-02  15.  0.30  74.0    7.
  4   49.0     0.5   6780.  133.7   64.6  0.455  1.E-03  15.  0.30  74.0    7.
  4   48.7    -0.1   6840.  133.9   64.3  0.454  1.E-02  15.  0.30  74.0    7.
  4   46.4    -4.0   7220.  134.9   62.3  0.448  1.E-03  15.  0.30  74.0    7.
  4   45.7    -5.1   7340.  135.3   61.7  0.447  1.E-02  15.  0.30  74.0    7.
  4   44.7    -6.6   7500.  135.8   60.7  0.444  3.E-03  15.  0.30  74.0    7.
  4   44.0    -7.7   7620.  136.1   60.0  0.442  4.E+00  81.  0.30  74.0    7.
  4   42.9    -9.1   7780.  136.6   59.0  0.440  1.E-03  15.  0.30  74.0    7.
  4   42.6    -9.6   7840.  136.8   58.6  0.439  4.E+00  81.  0.30  74.0    7.
  4   37.9   -15.2   8540.  139.0   53.6  0.426  1.E-02  15.  0.30  74.0    7.
  4   37.5   -15.6   8600.  139.2   53.1  0.425  4.E+00  81.  0.30  74.0    7.
  4   32.4   -20.6   9320.  141.5   46.4  0.411  1.E-02  15.  0.30  74.0    7.
  4   27.5   -24.8  10000.  143.4   38.7  0.395  1.E-02  15.  0.30  74.0    7.
      99.0
bearng   rlat    rlon    rrho
  51.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   43.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   47.4    96.5    180.   46.0   74.9  0.569  1.E-03  15.  0.30  74.0    7.
  4   47.6    96.1    220.   46.7   75.1  0.570  1.E-02  15.  0.30  74.0    7.
  4   47.7    95.8    240.   47.1   75.2  0.571  1.E-03  15.  0.30  74.0    7.
  4   51.6    86.8   1020.   65.4   78.4  0.578  1.E-02  15.  0.30  74.0    7.
  4   53.1    82.4   1360.   75.6   79.1  0.576  3.E-03  15.  0.30  74.0    7.
  4   53.2    81.9   1400.   76.8   79.2  0.576  4.E+00  81.  0.30  74.0    7.
  4   53.4    81.3   1440.   78.1   79.2  0.576  3.E-03  15.  0.30  74.0    7.
  4   53.5    80.8   1480.   79.3   79.2  0.575  4.E+00  81.  0.30  74.0    7.
  4   54.1    78.9   1620.   83.7   79.3  0.574  1.E-04  10.  0.30  74.0    7.
  4   56.8    64.4   2580.  108.9   78.2  0.554  3.E-04  10.  0.30  74.0    7.
  4   57.0    61.8   2740.  111.9   77.8  0.549  4.E+00  81.  0.30  74.0    7.
  4   46.9     2.9   6780.  134.0   62.7  0.449  4.E+00  81.  0.30  74.0    7.
  4   45.8     0.9   6980.  134.5   61.7  0.445  1.E-02  15.  0.30  74.0    7.
  4   44.3    -1.6   7240.  135.2   60.2  0.441  1.E-03  15.  0.30  74.0    7.
  4   43.4    -2.9   7380.  135.5   59.3  0.438  1.E-02  15.  0.30  74.0    7.
  4   43.3    -3.1   7400.  135.6   59.2  0.438  4.E+00  81.  0.30  74.0    7.
  4   39.3    -8.6   8040.  137.3   54.9  0.427  1.E-02  15.  0.30  74.0    7.
  4   38.9    -9.0   8100.  137.5   54.4  0.426  4.E+00  81.  0.30  74.0    7.
  4   30.9   -17.5   9280.  140.8   43.8  0.402  1.E-02  15.  0.30  74.0    7.
  4   25.7   -22.0  10000.  142.7   35.2  0.385  1.E-02  15.  0.30  74.0    7.
      99.0
bearng   rlat    rlon    rrho
  54.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   46.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   47.3    96.4    180.   49.1   74.8  0.569  1.E-03  15.  0.30  74.0    7.
  4   48.4    93.9    400.   53.4   75.9  0.573  3.E-03  15.  0.30  74.0    7.
  4   48.6    93.5    440.   54.3   76.1  0.573  1.E-03  15.  0.30  74.0    7.
  4   51.2    86.5   1020.   68.9   78.1  0.577  1.E-02  15.  0.30  74.0    7.
  4   52.6    81.4   1400.   80.1   78.7  0.575  4.E+00  81.  0.30  74.0    7.
  4   53.2    78.9   1580.   85.6   78.9  0.573  1.E-04  10.  0.30  74.0    7.
  4   55.6    64.3   2560.  110.4   77.6  0.553  3.E-04  10.  0.30  74.0    7.
  4   55.9    60.5   2800.  114.6   76.9  0.546  4.E+00  81.  0.30  74.0    7.
  4   46.0     7.3   6580.  134.0   61.9  0.446  4.E+00  81.  0.30  74.0    7.
  4   43.4     2.7   7040.  135.0   59.3  0.437  1.E-02  15.  0.30  74.0    7.
  4   42.6     1.4   7180.  135.3   58.4  0.434  3.E-03  15.  0.30  74.0    7.
  4   42.0     0.5   7280.  135.5   57.8  0.432  1.E-02  15.  0.30  74.0    7.
  4   40.9    -1.1   7460.  135.9   56.6  0.429  4.E+00  81.  0.30  74.0    7.
  4   39.8    -2.7   7640.  136.3   55.3  0.425  1.E-02  15.  0.30  74.0    7.
  4   39.4    -3.2   7700.  136.5   54.9  0.424  4.E+00  81.  0.30  74.0    7.
  4   36.9    -6.4   8100.  137.5   51.8  0.417  1.E-02  15.  0.30  74.0    7.
  4   27.5   -16.3   9500.  141.0   37.9  0.387  1.E-02  15.  0.30  74.0    7.
      99.0
bearng   rlat    rlon    rrho
  57.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   49.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   47.2    96.3    180.   52.2   74.8  0.569  1.E-03  15.  0.30  74.0    7.
  4   48.2    93.8    400.   56.7   75.8  0.573  3.E-03  15.  0.30  74.0    7.
  4   48.5    93.1    460.   58.0   76.0  0.573  1.E-03  15.  0.30  74.0    7.
  4   50.7    86.4   1000.   71.7   77.8  0.576  1.E-02  15.  0.30  74.0    7.
  4   52.1    80.8   1420.   83.9   78.3  0.574  4.E+00  81.  0.30  74.0    7.
  4   52.6    78.2   1600.   89.1   78.4  0.571  1.E-04  10.  0.30  74.0    7.
  4   54.4    64.3   2540.  111.8   76.9  0.551  3.E-04  10.  0.30  74.0    7.
  4   54.5    62.8   2640.  113.6   76.6  0.548  1.E-04  10.  0.30  74.0    7.
  4   54.5    62.2   2680.  114.3   76.5  0.547  3.E-04  10.  0.30  74.0    7.
  4   54.6    57.2   3000.  118.9   75.5  0.538  4.E+00  81.  0.30  74.0    7.
  4   44.4    10.5   6480.  134.3   60.5  0.441  4.E+00  81.  0.30  74.0    7.
  4   43.3     8.5   6680.  134.7   59.3  0.437  1.E-02  15.  0.30  74.0    7.
  4   42.9     7.7   6760.  134.8   58.8  0.435  1.E-03  15.  0.30  74.0    7.
  4   42.7     7.3   6800.  134.9   58.6  0.434  1.E-02  15.  0.30  74.0    7.
  4   38.3     0.5   7560.  136.4   53.4  0.418  4.E+00  81.  0.30  74.0    7.
  4   36.4    -2.0   7860.  137.1   51.0  0.412  1.E-02  15.  0.30  74.0    7.
  4   26.5   -12.8   9360.  140.4   35.9  0.380  1.E-02  15.  0.30  74.0    7.
  4   25.6   -13.7   9500.  140.7   34.1  0.376  1.E-02  15.  0.30  74.0    7.
      99.0
bearng   rlat    rlon    rrho
  60.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   52.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   47.2    96.3    180.   55.3   74.7  0.569  1.E-03  15.  0.30  74.0    7.
  4   48.1    93.7    400.   59.9   75.7  0.572  3.E-03  15.  0.30  74.0    7.
  4   48.5    92.2    520.   62.6   76.1  0.573  1.E-03  15.  0.30  74.0    7.
  4   48.8    91.5    580.   64.0   76.3  0.574  3.E-03  15.  0.30  74.0    7.
  4   49.0    90.7    640.   65.5   76.5  0.574  1.E-03  15.  0.30  74.0    7.
  4   50.6    84.8   1100.   77.8   77.6  0.575  1.E-02  15.  0.30  74.0    7.
  4   51.5    80.2   1440.   87.5   77.9  0.572  4.E+00  81.  0.30  74.0    7.
  4   51.8    78.8   1540.   90.3   77.9  0.571  1.E-04  10.  0.30  74.0    7.
  4   53.2    55.7   3100.  121.5   74.3  0.532  4.E+00  81.  0.30  74.0    7.
  4   43.1    14.0   6340.  134.7   59.3  0.437  4.E+00  81.  0.30  74.0    7.
  4   39.9     8.4   6920.  135.7   55.5  0.424  1.E-03  15.  0.30  74.0    7.
  4   39.0     6.9   7080.  136.0   54.4  0.420  3.E-03  15.  0.30  74.0    7.
  4   37.4     4.5   7360.  136.5   52.3  0.414  1.E-02  15.  0.30  74.0    7.
  4   36.4     3.2   7520.  136.7   51.0  0.410  4.E+00  81.  0.30  74.0    7.
  4   35.5     1.8   7680.  137.0   49.7  0.407  1.E-02  15.  0.30  74.0    7.
  4   27.0    -7.9   9000.  139.5   36.4  0.377  1.E-02  15.  0.30  74.0    7.
      99.0
bearng   rlat    rlon    rrho
  63.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   55.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   47.0    96.5    160.   58.0   74.6  0.568  1.E-03  15.  0.30  74.0    7.
  4   48.0    93.1    440.   64.0   75.7  0.572  3.E-03  15.  0.30  74.0    7.
  4   48.9    89.8    700.   70.2   76.5  0.574  1.E-03  15.  0.30  74.0    7.
  4   50.4    82.9   1220.   84.2   77.4  0.573  1.E-02  15.  0.30  74.0    7.
  4   51.0    78.8   1520.   92.6   77.5  0.570  1.E-03  15.  0.30  74.0    7.
  4   51.3    76.8   1660.   96.3   77.4  0.567  1.E-04  10.  0.30  74.0    7.
  4   52.0    58.8   2900.  120.6   74.2  0.536  1.E-03  15.  0.30  74.0    7.
  4   51.9    56.5   3060.  122.5   73.6  0.531  4.E+00  81.  0.30  74.0    7.
  4   42.1    17.9   6140.  135.2   58.6  0.435  4.E+00  81.  0.30  74.0    7.
  4   34.7     5.9   7460.  137.2   48.8  0.403  1.E-02  15.  0.30  74.0    7.
  4   25.7    -4.8   8900.  139.5   33.7  0.369  1.E-02  15.  0.30  74.0    7.
  4   25.4    -5.1   8940.  139.5   33.2  0.369  1.E-03  15.  0.30  74.0    7.
  4   25.0    -5.5   9000.  139.6   32.5  0.367  1.E-03  15.  0.30  74.0    7.
      99.0
bearng   rlat    rlon    rrho
  72.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   64.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   46.8    96.3    160.   67.2   74.5  0.568  1.E-03  15.  0.30  74.0    7.
  4   47.3    93.8    360.   71.5   75.1  0.570  3.E-03  15.  0.30  74.0    7.
  4   47.8    90.4    620.   77.6   75.7  0.571  1.E-02  15.  0.30  74.0    7.
  4   48.4    85.9    960.   86.2   76.2  0.571  1.E-03  15.  0.30  74.0    7.
  4   49.0    74.5   1800.  106.9   75.6  0.560  1.E-04  10.  0.30  74.0    7.
  4   49.0    73.9   1840.  107.8   75.5  0.559  1.E-03  15.  0.30  74.0    7.
  4   49.0    72.3   1960.  110.3   75.2  0.556  1.E-04  10.  0.30  74.0    7.
  4   49.0    71.5   2020.  111.6   75.1  0.555  1.E-03  15.  0.30  74.0    7.
  4   48.9    68.7   2220.  115.3   74.5  0.549  4.E+00  81.  0.30  74.0    7.
  4   48.8    67.9   2280.  116.4   74.3  0.548  1.E-03  15.  0.30  74.0    7.
  4   48.6    64.4   2540.  120.5   73.3  0.540  4.E+00  81.  0.30  74.0    7.
  4   48.0    59.1   2940.  125.5   71.7  0.527  1.E-03  15.  0.30  74.0    7.
  4   47.5    55.7   3200.  128.1   70.5  0.517  4.E+00  81.  0.30  74.0    7.
  4   47.4    55.4   3220.  128.3   70.4  0.517  3.E-04  10.  0.30  74.0    7.
  4   47.3    54.9   3260.  128.6   70.2  0.515  4.E+00  81.  0.30  74.0    7.
  4   47.2    53.9   3340.  129.3   69.8  0.512  3.E-04  10.  0.30  74.0    7.
  4   47.0    52.8   3420.  129.9   69.4  0.509  4.E+00  81.  0.30  74.0    7.
  4   37.3    25.7   5880.  137.9   54.4  0.420  4.E+00  81.  0.30  74.0    7.
  4   28.4    12.2   7480.  139.7   39.4  0.374  4.E+00  81.  0.30  74.0    7.
  4   27.9    11.6   7560.  139.7   38.5  0.372  1.E-02  15.  0.30  74.0    7.
  4   26.5     9.8   7800.  139.9   35.7  0.365  1.E-03  15.  0.30  74.0    7.
  4   24.0     6.9   8200.  140.3   30.7  0.355  1.E-02  15.  0.30  74.0    7.
  4   22.1     4.8   8500.  140.5   26.6  0.348  1.E-02  15.  0.30  74.0    7.
      99.0
SCAN Output\lwpm.lwf                                                                                     
file_id:  15May 5 GIW LWPM 2.1 c:\lwpcv21\output\lwpm.mds
          15May 5 GIW LWPM 2.1 c:\lwpcv21\output\lwpm.lwf
          ***
prgm_id:  LWPM 2.1
case_id:  OMEGA coverage of the Mediterranean
prfl_id:  LWPM Day                                
xmtr_id                tlat    tlon   freq
omega-d                46.4    98.3   10.2
path_id                lat1    lon1   lat2    lon2
mediterranean          30.0    10.0   45.0   -45.0
nc nrpt bearng  rhomx  rlat   rlon   rrho    pwr    dist incl headng talt ralt
