SCAN Output\bearings.mds                                                                                 
file_id:  15May 5 8L5 LWPM 2.1 c:\lwpcv21\output\bearings.mds
          ***
          ***
prgm_id:  LWPM 2.1
case_id:  OMEGA coverage of the Mediterranean
prfl_id:  LWPM Date: 04/15/84:2200                
xmtr_id                tlat    tlon   freq
omega-d                46.4    98.3   10.2
path_id                lat1    lon1   lat2    lon2
Bearings                0.0     0.0    0.0     0.0
bearng   rlat    rlon    rrho
  24.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  6   52.9     9.4   6020.  131.8   67.9  0.468  3.E-02  15.  0.30  87.0   13.
  6   52.0     6.9   6220.  132.3   67.1  0.465  4.E+00  81.  0.30  87.0   13.
  6   50.9     4.5   6420.  132.8   66.2  0.461  3.E-02  15.  0.30  87.0   13.
  6   50.4     3.4   6520.  133.0   65.8  0.460  4.E+00  81.  0.30  87.0   13.
  6   49.4     1.4   6700.  133.5   65.0  0.457  1.E-02  15.  0.30  87.0   13.
  6   49.0     0.5   6780.  133.7   64.6  0.455  1.E-03  15.  0.30  87.0   13.
  6   48.7    -0.1   6840.  133.9   64.3  0.454  1.E-02  15.  0.30  87.0   13.
  6   46.4    -4.0   7220.  134.9   62.3  0.448  1.E-03  15.  0.30  87.0   13.
  6   45.7    -5.1   7340.  135.3   61.7  0.447  1.E-02  15.  0.30  87.0   13.
  6   44.7    -6.6   7500.  135.8   60.7  0.444  3.E-03  15.  0.30  87.0   13.
  6   44.0    -7.7   7620.  136.1   60.0  0.442  4.E+00  81.  0.30  87.0   13.
  6   42.9    -9.1   7780.  136.6   59.0  0.440  1.E-03  15.  0.30  87.0   13.
  6   42.6    -9.6   7840.  136.8   58.6  0.439  4.E+00  81.  0.30  87.0   13.
  6   37.9   -15.2   8540.  139.0   53.6  0.426  1.E-02  15.  0.30  87.0   13.
  6   37.5   -15.6   8600.  139.2   53.1  0.425  4.E+00  81.  0.30  87.0   13.
  6   32.4   -20.6   9320.  141.5   46.4  0.411  1.E-02  15.  0.30  87.0   13.
  5   26.0   -25.9  10200.  143.9   36.2  0.390  1.E-02  15.  0.30  87.0   13.
  5   22.6   -28.5  10660.  145.0   29.8  0.378  1.E-02  15.  0.30  87.0   13.
